Well,Sample,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A06,mcrA_nirS_101023,EVA1,12.4760847091675,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,249.521697998047,,,14.256142616272,10.6987171173096,17917,189,17728,0,0,0,0,,,,,,,,,8000,,,,,,,,,,,,,,10977.2046699322,4780.46224391676,4845.82945486261,,,,,13.3839416503906,11.5689287185669,,,,,,,,,,,,
A07,mcrA_nirS_101023,EVA1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.191930383443832,0,18366,0,18366,0,0,0,0,,,,,,,,,8000,,,,,,,,,,,,,,0,4158.34883812405,4158.34883812405,,,,,0.0876972824335098,0,,,,,,,,,,,,
A08,mcrA_nirS_101023,EVA1,38.5584869384766,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,771.169738769531,,,41.7311515808105,35.3943481445313,17647,569,17078,0,0,0,0,,,,,,,,,8000,,,,,,,,,,,,,,12012.2446186086,4322.48616318212,4570.43043479415,,,,,40.1761245727539,36.9430656433105,,,,,,,,,,,,
A09,mcrA_nirS_101023,EVA1,15.663423538208,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,313.268463134766,,,17.8927841186523,13.4382781982422,14366,190,14176,0,0,0,0,,,,,,,,,8000,,,,,,,,,,,,,,12185.0388517681,3966.07247883472,4074.77383000118,,,,,16.8003253936768,14.5276184082031,,,,,,,,,,,,
B06,mcrA_nirS_101023,EVA1,0.564931869506836,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,11.2986373901367,,,1.02360498905182,0.269375890493393,18747,9,18738,0,0,0,0,,,,,,,,,8000,,,,,,,,,,,,,,11197.771484375,4325.45392446348,4328.75316477074,,,,,0.775658190250397,0.396365463733673,,,,,,,,,,,,
B07,mcrA_nirS_101023,EVA1,0.232665002346039,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,4.65330028533936,,,0.548639535903931,0.0702018216252327,20228,4,20224,0,0,0,0,,,,,,,,,8000,,,,,,,,,,,,,,11046.3349609375,4156.33086249195,4157.69333116868,,,,,0.371646106243134,0.133602246642113,,,,,,,,,,,,
B08,mcrA_nirS_101023,EVA1,193.38395690918,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,3867.67919921875,,,200.569290161133,186.242233276367,18512,2806,15706,0,0,0,0,,,,,,,,,8000,,,,,,,,,,,,,,11291.7780824364,5403.01286819751,6295.6163249366,,,,,197.044464111328,189.734802246094,,,,,,,,,,,,
B09,mcrA_nirS_101023,EVA1,31.7599964141846,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,635.199951171875,,,34.4519309997559,29.0742111206055,20124,536,19588,0,0,0,0,,,,,,,,,8000,,,,,,,,,,,,,,12641.5996576565,4286.27195004694,4508.81496591253,,,,,33.1326637268066,30.3889331817627,,,,,,,,,,,,
C06,mcrA_nirS_101023,EVA1,1.41627109050751,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,28.3254222869873,,,2.09675192832947,0.902032017707825,18286,22,18264,0,0,0,0,,,,,,,,,8000,,,,,,,,,,,,,,11717.5828080611,4299.66967484871,4308.59421214119,,,,,1.73967754840851,1.13571405410767,,,,,,,,,,,,
C07,mcrA_nirS_101023,EVA1,1.86542296409607,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,37.3084602355957,,,2.63251948356628,1.26436936855316,18304,29,18275,0,0,0,0,,,,,,,,,8000,,,,,,,,,,,,,,10971.0554620151,4321.20904413101,4331.74474922927,,,,,2.23300266265869,1.54069113731384,,,,,,,,,,,,
