Well,Sample,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,ASH_nirk,EVA1,0.0906267091631889,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,1.8125342130661,,,0.432896137237549,0.00380618125200272,12982,1,12981,0,0,0,0,,,,,,,,,10100,,,,,,,,,,,,,,12776.90625,9154.470295829,9154.74933110509,,,,,0.225582808256149,0.0245591476559639,,,,,,,,,,,,
A02,ASH_nirk,EVA1,1591.056640625,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,31821.1328125,,,1626.42053222656,1556.72473144531,12559,9311,3248,0,0,0,0,,,,,,,,,10100,,,,,,,,,,,,,,11047.3043730618,9440.97617779812,10631.8768726066,,,,,1608.96667480469,1573.41516113281,,,,,,,,,,,,
A03,ASH_nirk,EVA1,213.16438293457,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,4263.28759765625,,,222.37825012207,204.02214050293,12539,2078,10461,0,0,0,0,,,,,,,,,10100,,,,,,,,,,,,,,12760.6758329448,8250.11350248713,8997.61717285091,,,,,217.856323242188,208.491104125977,,,,,,,,,,,,
A04,ASH_nirk,EVA1,579.500427246094,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,11590.0087890625,,,595.271301269531,563.938171386719,13791,5364,8427,0,0,0,0,,,,,,,,,10100,,,,,,,,,,,,,,13063.0012623946,8251.35645834956,10122.8424078019,,,,,587.520324707031,571.534790039063,,,,,,,,,,,,
A05,ASH_nirk,EVA1,295.184997558594,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,5903.7001953125,,,305.254730224609,285.200714111328,15083,3347,11736,0,0,0,0,,,,,,,,,10100,,,,,,,,,,,,,,12959.3652457541,8032.65166828595,9125.91629361159,,,,,300.311828613281,290.080383300781,,,,,,,,,,,,
B01,ASH_nirk,EVA1,3906.60498046875,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,78132.1015625,,,4020.21215820313,3803.0087890625,12095,11658,437,0,0,0,0,,,,,,,,,10100,,,,,,,,,,,,,,12674.4211437928,9465.10551456128,12558.4665402397,,,,,3963.19677734375,3852.61083984375,,,,,,,,,,,,
B02,ASH_nirk,EVA1,1013.03424072266,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,20260.685546875,,,1037.25036621094,989.306457519531,12640,7297,5343,0,0,0,0,,,,,,,,,10100,,,,,,,,,,,,,,13277.5222469422,8939.83249604477,11443.9560808786,,,,,1025.32702636719,1000.86840820313,,,,,,,,,,,,
B03,ASH_nirk,EVA1,462.674591064453,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,9253.4921875,,,475.709899902344,449.782165527344,15245,4957,10288,0,0,0,0,,,,,,,,,10100,,,,,,,,,,,,,,13234.6593577816,8396.58081519808,9969.71005990686,,,,,469.307220458984,456.079162597656,,,,,,,,,,,,
B04,ASH_nirk,EVA1,805.176635742188,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,16103.533203125,,,824.419250488281,786.243713378906,14342,7108,7234,0,0,0,0,,,,,,,,,10100,,,,,,,,,,,,,,12712.6396996837,8524.13831136765,10599.9902056746,,,,,814.954956054688,795.478942871094,,,,,,,,,,,,
B05,ASH_nirk,EVA1,362.307403564453,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,7246.14794921875,,,373.658477783203,351.064788818359,15027,3983,11044,0,0,0,0,,,,,,,,,10100,,,,,,,,,,,,,,12833.1413046463,8122.68744189944,9371.22259431316,,,,,368.085083007813,356.557952880859,,,,,,,,,,,,
C01,ASH_nirk,EVA1,1747.1884765625,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,34943.76953125,,,1786.55493164063,1709.09655761719,12116,9372,2744,0,0,0,0,,,,,,,,,10100,,,,,,,,,,,,,,12702.5128832893,9250.1728661818,11920.6359431323,,,,,1767.10888671875,1727.59985351563,,,,,,,,,,,,
C02,ASH_nirk,EVA1,256.757751464844,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,5135.1552734375,,,266.835632324219,246.765472412109,12878,2525,10353,0,0,0,0,,,,,,,,,10100,,,,,,,,,,,,,,13975.6255959932,8643.29367766099,9688.80836113581,,,,,261.888732910156,251.649063110352,,,,,,,,,,,,
C03,ASH_nirk,EVA1,0.0801001265645027,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,1.60200250148773,,,0.382607370615005,0.00336409546434879,14688,1,14687,0,0,0,0,,,,,,,,,10100,,,,,,,,,,,,,,10507.6572265625,8080.36581527908,8080.53107204728,,,,,0.199379310011864,0.0217065960168839,,,,,,,,,,,,
C04,ASH_nirk,EVA1,532.157104492188,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,10643.142578125,,,546.210876464844,518.269287109375,15583,5670,9913,0,0,0,0,,,,,,,,,10100,,,,,,,,,,,,,,12821.8425257661,8330.28735807187,9964.57586483097,,,,,539.306396484375,525.051025390625,,,,,,,,,,,,
C05,ASH_nirk,EVA1,382.343383789063,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,7646.86767578125,,,394.137420654297,370.666412353516,14827,4114,10713,0,0,0,0,,,,,,,,,10100,,,,,,,,,,,,,,12961.2819077673,8121.09843689381,9464.08857644827,,,,,388.346008300781,376.371276855469,,,,,,,,,,,,
D01,ASH_nirk,EVA1,1471.81213378906,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,29436.2421875,,,1504.49938964844,1440.00866699219,12760,9108,3652,0,0,0,0,,,,,,,,,10100,,,,,,,,,,,,,,12382.1186530943,9129.94845811691,11451.3251145318,,,,,1488.37585449219,1455.478515625,,,,,,,,,,,,
D02,ASH_nirk,EVA1,1026.65490722656,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,20533.09765625,,,1050.64282226563,1003.14630126953,13139,7649,5490,0,0,0,0,,,,,,,,,10100,,,,,,,,,,,,,,13658.5440534506,8662.12425932059,11570.8399154056,,,,,1038.83239746094,1014.60205078125,,,,,,,,,,,,
D03,ASH_nirk,EVA1,54.460506439209,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,1089.21008300781,,,58.5950393676758,50.3404541015625,14789,669,14120,0,0,0,0,,,,,,,,,10100,,,,,,,,,,,,,,13722.9187876612,7851.51636461469,8117.11702869056,,,,,56.5681419372559,52.356632232666,,,,,,,,,,,,
D04,ASH_nirk,EVA1,252.352386474609,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,5047.0478515625,,,261.587677001953,243.189041137695,15032,2902,12130,0,0,0,0,,,,,,,,,10100,,,,,,,,,,,,,,12971.4311240766,8005.92490403442,8964.53979563648,,,,,257.055206298828,247.66828918457,,,,,,,,,,,,
D05,ASH_nirk,EVA1,693.6083984375,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,13872.16796875,,,710.378662109375,677.073791503906,15403,6861,8542,0,0,0,0,,,,,,,,,10100,,,,,,,,,,,,,,13058.9397631313,8256.20441504112,10395.4998265354,,,,,702.134765625,685.143310546875,,,,,,,,,,,,
E01,ASH_nirk,EVA1,1898.60729980469,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,37972.14453125,,,1942.64758300781,1856.15625,11445,9166,2279,0,0,0,0,,,,,,,,,10100,,,,,,,,,,,,,,12594.4874764329,9058.7161980395,11890.4225796694,,,,,1920.87072753906,1876.75732421875,,,,,,,,,,,,
E02,ASH_nirk,EVA1,440.158996582031,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,8803.1796875,,,453.59814453125,426.871612548828,13511,4217,9294,0,0,0,0,,,,,,,,,10100,,,,,,,,,,,,,,13281.9205749237,8419.47505793809,9937.12236347639,,,,,446.996520996094,433.360961914063,,,,,,,,,,,,
E03,ASH_nirk,EVA1,532.004272460938,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,10640.0859375,,,546.97900390625,517.2177734375,13731,4995,8736,0,0,0,0,,,,,,,,,10100,,,,,,,,,,,,,,13495.6829870887,8307.5485518459,10194.8642247057,,,,,539.62060546875,524.436950683594,,,,,,,,,,,,
E04,ASH_nirk,EVA1,281.060119628906,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,5621.2021484375,,,291.295349121094,270.913177490234,13816,2936,10880,0,0,0,0,,,,,,,,,10100,,,,,,,,,,,,,,13263.2115947505,7986.54545431698,9107.87520158919,,,,,286.271057128906,275.872161865234,,,,,,,,,,,,
E05,ASH_nirk,EVA1,854.618530273438,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,17092.37109375,,,875.093505859375,834.493896484375,13779,7115,6664,0,0,0,0,,,,,,,,,10100,,,,,,,,,,,,,,12204.7462959252,8734.41977694398,10526.3766085393,,,,,865.020385742188,844.307861328125,,,,,,,,,,,,
F01,ASH_nirk,EVA1,94.4628219604492,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,1889.25646972656,,,100.258842468262,88.6952285766602,13298,1026,12272,0,0,0,0,,,,,,,,,10100,,,,,,,,,,,,,,13495.9749282331,8702.6818933201,9072.50582577766,,,,,97.4164123535156,91.5166397094727,,,,,,,,,,,,
F02,ASH_nirk,EVA1,417.531616210938,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,8350.6328125,,,430.868835449219,404.343963623047,12880,3848,9032,0,0,0,0,,,,,,,,,10100,,,,,,,,,,,,,,11967.7832315489,7687.80691547242,8966.4830695301,,,,,424.317443847656,410.784759521484,,,,,,,,,,,,
F03,ASH_nirk,EVA1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.227907627820969,0,15467,0,15467,0,0,0,0,,,,,,,,,10100,,,,,,,,,,,,,,0,7795.64197493176,7795.64197493176,,,,,0.10413521528244,0,,,,,,,,,,,,
F04,ASH_nirk,EVA1,421.576354980469,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,8431.52734375,,,434.28515625,409.003326416016,14341,4319,10022,0,0,0,0,,,,,,,,,10100,,,,,,,,,,,,,,13345.4761304067,8077.76882162952,9664.21522471216,,,,,428.043273925781,415.144775390625,,,,,,,,,,,,
F05,ASH_nirk,EVA1,448.340942382813,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,8966.818359375,,,461.107147216797,435.711761474609,15299,4848,10451,0,0,0,0,,,,,,,,,10100,,,,,,,,,,,,,,12706.9608134153,8086.97079217524,9550.96919880135,,,,,454.837005615234,441.880554199219,,,,,,,,,,,,
G01,ASH_nirk,EVA1,159.030456542969,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,3180.60913085938,,,167.096145629883,151.019668579102,11911,1506,10405,0,0,0,0,,,,,,,,,10100,,,,,,,,,,,,,,13154.8082345099,8586.95534321878,9164.50436968889,,,,,163.138702392578,154.936508178711,,,,,,,,,,,,
G02,ASH_nirk,EVA1,366.716705322266,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,7334.333984375,,,379.272705078125,354.293304443359,12468,3339,9129,0,0,0,0,,,,,,,,,10100,,,,,,,,,,,,,,13406.56555779,8148.13881564759,9556.37485125982,,,,,373.106079101563,360.361846923828,,,,,,,,,,,,
G03,ASH_nirk,EVA1,402.45556640625,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,8049.111328125,,,414.809967041016,390.229583740234,14359,4160,10199,0,0,0,0,,,,,,,,,10100,,,,,,,,,,,,,,12809.6724247859,8129.96204337397,9485.73857284494,,,,,408.742645263672,396.201965332031,,,,,,,,,,,,
G04,ASH_nirk,EVA1,432.471588134766,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,8649.431640625,,,445.7998046875,419.292724609375,13449,4137,9312,0,0,0,0,,,,,,,,,10100,,,,,,,,,,,,,,13173.9174600499,8047.18403955833,9624.2006326562,,,,,439.252807617188,425.729217529297,,,,,,,,,,,,
G05,ASH_nirk,EVA1,690.235961914063,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,13804.71875,,,709.370788574219,671.407409667969,11779,5228,6551,0,0,0,0,,,,,,,,,10100,,,,,,,,,,,,,,12383.6548624892,8279.45975544347,10101.0687222178,,,,,699.959716796875,680.591918945313,,,,,,,,,,,,
H01,ASH_nirk,EVA1,96.9968032836914,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,1939.93603515625,,,102.945861816406,91.0776672363281,12977,1027,11950,0,0,0,0,,,,,,,,,10100,,,,,,,,,,,,,,13506.4625559122,8456.89795528141,8856.52058338091,,,,,100.028274536133,93.9731140136719,,,,,,,,,,,,
H02,ASH_nirk,EVA1,200.809509277344,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,4016.19018554688,,,209.440277099609,192.241577148438,13383,2100,11283,0,0,0,0,,,,,,,,,10100,,,,,,,,,,,,,,13694.7019410342,8147.46101801469,9017.90904449165,,,,,205.205047607422,196.430313110352,,,,,,,,,,,,
H03,ASH_nirk,EVA1,287.707275390625,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,5754.1455078125,,,298.511413574219,277.001434326172,12736,2763,9973,0,0,0,0,,,,,,,,,10100,,,,,,,,,,,,,,12596.621199076,7851.36638004644,8880.82139457053,,,,,293.207214355469,282.232940673828,,,,,,,,,,,,
H04,ASH_nirk,EVA1,763.561706542969,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,15271.234375,,,782.242309570313,745.173034667969,14144,6753,7391,0,0,0,0,,,,,,,,,10100,,,,,,,,,,,,,,12883.1655333451,8332.12301754245,10505.0012775266,,,,,773.055541992188,754.143859863281,,,,,,,,,,,,
H05,ASH_nirk,EVA1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.238340973854065,0,14790,0,14790,0,0,0,0,,,,,,,,,10100,,,,,,,,,,,,,,0,7258.82930294963,7258.82930294962,,,,,0.108902141451836,0,,,,,,,,,,,,
