Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Absolute Quantification,"ABS","Water",Ch1Negative Control,"16S","Manual",0.59,QX200 ddPCR EvaGreen Supermix,11.8,,,1.1,0.4,8,16034,8,0,13,16021,0.587,16042,,,,,,,,,,,,,,,,,,1,1,9624,13642,8722.2,8724.7,"Absolute Quantification Experiment",,,,0.82,0,,,,,,,,,,,,,
"A02",Absolute Quantification,"ABS","RB1-B",Ch1Unknown,"16S","Manual",29.3,QX200 ddPCR EvaGreen Supermix,586,,,32.3,27.9,388,15361,388,0,3,15358,29.3,15749,,,,,,,,0.99,,,1.13,0.85,49.8,,,53.3,46.3,1,1,9624,14105,8271.6,8415.3,"",,,,31,0,,,,,,,1.06,0.92,,,51.6,48,
"A03",Absolute Quantification,"ABS","RC3-B",Ch1Unknown,"16S","Manual",13,QX200 ddPCR EvaGreen Supermix,260,,,14.9,11.9,165,14901,165,0,8,14893,13,15066,,,,,,,,0.95,,,1.16,0.75,49,,,54,43,1,1,9624,13900,7792.3,7859.2,"",,,,14,0,,,,,,,1.06,0.85,,,51.5,46.1,
"A04",Absolute Quantification,"ABS","TB1-B",Ch1Unknown,"16S","Manual",38.9,QX200 ddPCR EvaGreen Supermix,778,,,42.1,37.2,561,16705,561,0,16,16689,38.9,17266,,,,,,,,0.97,,,1.08,0.86,49.3,,,52.2,46.4,1,1,9624,13621,7438.5,7639.3,"",,,,41,0,,,,,,,1.03,0.91,,,50.8,47.8,
"A05",Absolute Quantification,"ABS","TC1-B",Ch1Unknown,"16S","Manual",26.4,QX200 ddPCR EvaGreen Supermix,528,,,29.1,25,352,15526,352,0,19,15507,26.4,15878,,,,,,,,0.95,,,1.09,0.81,48.7,,,52.3,45,1,1,9624,13406,7118.2,7257.6,"",,,,28,0,,,,,,,1.02,0.88,,,50.5,46.8,
"B01",Absolute Quantification,"ABS","RA1-B",Ch1Unknown,"16S","Manual",101.4,QX200 ddPCR EvaGreen Supermix,2028,,,107,98.6,1303,14471,1292,11,35,14436,101,15774,,,,,,,,0.98,,,1.06,0.91,49.5,,,51.4,47.6,1,1,9624,14017,8696.4,9135.9,"Absolute Quantification Experiment",,,,100,0,,,,,,,1.019,0.943,,,50.5,48.5,
"B02",Absolute Quantification,"ABS","RB2-B",Ch1Unknown,"16S","Manual",11.1,QX200 ddPCR EvaGreen Supermix,222,,,13,10.1,136,14361,136,0,3,14358,11.1,14497,,,,,,,,,,,,,,,,,,1,1,9624,14144,8271,8326,"",,,,12,0,,,,,,,,,,,,,
"B03",Absolute Quantification,"ABS","TA1-B",Ch1Unknown,"16S","Manual",129.1,QX200 ddPCR EvaGreen Supermix,2582,,,135.3,125.9,1634,14094,1634,0,42,14052,129,15728,,,,,,,,0.97,,,1.04,0.91,49.3,,,51,47.6,1,1,9624,13863,7733,8369.8,"",,,,130,0,,,,,,,1.007,0.94,,,50.2,48.5,
"B04",Absolute Quantification,"ABS","TB2-B",Ch1Unknown,"16S","Manual",18.1,QX200 ddPCR EvaGreen Supermix,362,,,20.3,16.9,243,15707,243,0,12,15695,18.1,15950,,,,,,,,0.95,,,1.12,0.79,48.8,,,53.2,44.4,1,1,9624,13822,7441.3,7538.6,"",,,,19,0,,,,,,,1.04,0.87,,,51,46.5,
"B05",Absolute Quantification,"ABS","TC2-B",Ch1Unknown,"16S","Manual",19.8,QX200 ddPCR EvaGreen Supermix,396,,,22.3,18.6,250,14695,250,0,20,14675,19.8,14945,,,,,,,,0.93,,,1.08,0.77,48.1,,,52.4,43.8,1,1,9624,13396,7047.6,7153.8,"",,,,21,0,,,,,,,1.01,0.84,,,50.3,45.9,
