Well,Sample,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,,EVA1,0.166969999670982,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,3.33940005302429,,,0.534888565540314,0.0252944324165583,14093,2,14091,0,0,0,0,,,,,,,,,13918,,,,,,,,,,,,,,14874.7666015625,10160.7287685846,10161.3977585559,,,,,0.321020841598511,0.0724620670080185,,,,,,,,,,,,
A02,,EVA1,1.03994119167328,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,20.7988243103027,,,1.68858706951141,0.583590984344482,15845,14,15831,0,0,0,0,,,,,,,,,13918,,,,,,,,,,,,,,15972.8101981027,9668.93862484196,9674.50847034694,,,,,1.34355437755585,0.785962164402008,,,,,,,,,,,,
A03,,EVA1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.24515426158905,0,14379,0,14379,0,0,0,0,,,,,,,,,13918,,,,,,,,,,,,,,0,8981.46504688641,8981.46504688645,,,,,0.112015075981617,0,,,,,,,,,,,,
A04,,EVA1,15.9772453308105,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,319.544921875,,,18.1558494567871,13.8026685714722,15346,207,15139,0,0,0,0,,,,,,,,,13918,,,,,,,,,,,,,,16651.4188981356,9497.62254278968,9594.11907905692,,,,,17.0882740020752,14.8672637939453,,,,,,,,,,,,
A05,,EVA1,2.30402565002441,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,46.0805130004883,,,3.3116819858551,1.52538049221039,13289,26,13263,0,0,0,0,,,,,,,,,13918,,,,,,,,,,,,,,17081.9335561899,8882.44800178363,8898.49033938728,,,,,2.78533911705017,1.88178563117981,,,,,,,,,,,,
B01,,EVA1,4.57754421234131,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,91.5508880615234,,,5.92873001098633,3.44990205764771,13648,53,13595,0,0,0,0,,,,,,,,,13918,,,,,,,,,,,,,,16893.8369140625,10123.0882415266,10149.3814478312,,,,,5.23419713973999,3.97851467132568,,,,,,,,,,,,
B02,,EVA1,0.882423222064972,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,17.6484642028809,,,1.51745522022247,0.455568581819534,14671,11,14660,0,0,0,0,,,,,,,,,13918,,,,,,,,,,,,,,16386.9205433239,9739.98346491836,9744.96719526136,,,,,1.17673814296722,0.641857087612152,,,,,,,,,,,,
B03,,EVA1,No Call,CHECK,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,,,,,,0,0,0,0,0,0,0,,,,,,,,,13918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B04,,EVA1,4.13159513473511,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,82.6319046020508,,,5.36355066299438,3.1051287651062,14833,52,14781,0,0,0,0,,,,,,,,,13918,,,,,,,,,,,,,,16233.2165151743,9057.30699987394,9082.46356259184,,,,,4.73013162612915,3.58602929115295,,,,,,,,,,,,
B05,,EVA1,4.63194608688354,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,92.6389236450195,,,5.97186994552612,3.5099310874939,13997,55,13942,0,0,0,0,,,,,,,,,13918,,,,,,,,,,,,,,17018.1739524148,8805.85226364694,8838.12187091146,,,,,5.28364896774292,4.03643560409546,,,,,,,,,,,,
C01,,EVA1,2.68314170837402,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,53.6628341674805,,,3.74649214744568,1.84343945980072,13608,31,13577,0,0,0,0,,,,,,,,,13918,,,,,,,,,,,,,,16831.6214402722,10103.8343994069,10119.1607808198,,,,,3.19354462623596,2.23038697242737,,,,,,,,,,,,
